iter	Logloss
222	0.3105068134
223	0.3101315474
224	0.309930266
225	0.3099246717
226	0.3097247106
227	0.3093973028
228	0.3091801297
229	0.3088293855
230	0.3085296341
231	0.3084025371
232	0.3080356506
233	0.3077464497
234	0.3075172977
235	0.3071129638
236	0.3068993776
237	0.3066966235
238	0.3063417946
239	0.3061322783
240	0.3059883953
241	0.3058006982
242	0.3056235364
243	0.3055413399
244	0.3052421414
245	0.3050317211
246	0.3047849362
247	0.3044767159
248	0.304190633
249	0.3038748485
250	0.3036441425
251	0.3033484758
252	0.303189109
253	0.3029444281
254	0.3027574313
255	0.3025280277
256	0.3023523789
257	0.3022717561
258	0.3022404673
259	0.3020224081
260	0.3018274982
261	0.3015683162
262	0.3013522556
263	0.3012088439
264	0.3010011975
265	0.3008944201
266	0.3006422193
267	0.3005594944
268	0.3003509471
269	0.3002136155
270	0.2999995818
271	0.2998839145
272	0.2997000534
273	0.2995254387
274	0.2993531809
275	0.2991160956
276	0.2989350115
277	0.2986972493
278	0.2984716537
279	0.2982489166
280	0.2979837893
281	0.2977843089
282	0.297666765
283	0.2974248616
284	0.2972795997
285	0.2970374964
286	0.2968203621
287	0.2966235436
288	0.2965030261
289	0.2963413484
290	0.2961425698
291	0.2960297034
292	0.2959040885
293	0.2959005287
294	0.2956895263
295	0.2954883264
296	0.2953732441
297	0.2951330417
298	0.2950578042
299	0.2948477431
300	0.2947499005
301	0.2945776088
302	0.2944598045
303	0.2942543912
304	0.29414215
305	0.2938821434
306	0.2937917437
307	0.2936217958
308	0.2933986343
309	0.2933089732
310	0.2930986706
311	0.2928458251
312	0.2926858278
313	0.2925815211
314	0.2925737504
315	0.2924939426
316	0.2923047799
317	0.292201654
318	0.291999476
319	0.2919094039
320	0.2917976718
321	0.2916785934
322	0.291665555
323	0.2915311794
324	0.2914067239
325	0.2911937908
326	0.2910813556
327	0.2909386903
328	0.2907933774
329	0.2904408894
330	0.2903612292
331	0.2902603003
332	0.2900835968
333	0.2899646543
334	0.2898591092
335	0.2897350006
336	0.2895924989
337	0.2894020017
338	0.2892194307
339	0.2890395404
340	0.2889870196
341	0.2887827977
342	0.2887165589
343	0.2886243478
344	0.2884351025
345	0.2882960375
346	0.2882929595
347	0.2881894258
348	0.2880700433
349	0.2879769167
350	0.2878800427
351	0.2876609508
352	0.2875430401
353	0.2873964277
354	0.2872269497
355	0.2870785742
356	0.2869456456
357	0.2869437568
358	0.2867203634
359	0.2866216023
360	0.2864804096
361	0.2863811602
362	0.2862497011
363	0.2861451263
364	0.2860065598
365	0.2859023417
366	0.2856748893
367	0.2856490068
368	0.2856019101
369	0.2855419876
370	0.285450705
371	0.2853708709
372	0.285221978
373	0.2850631499
374	0.2848297048
375	0.2847199264
376	0.284714995
377	0.2846160957
378	0.2844332098
379	0.284323372
380	0.2842455506
381	0.2841128662
382	0.284030686
383	0.2839693573
384	0.2838828884
385	0.2837578443
386	0.2836597976
387	0.2836175713
388	0.2835783041
389	0.2834840762
390	0.283386768
391	0.2832880895
392	0.2832074064
393	0.2831466156
394	0.2830984817
395	0.2829922299
396	0.2829021513
397	0.2827623762
398	0.2826621169
399	0.282554152
400	0.282440557
401	0.2823207957
402	0.2822571076
403	0.2822540796
404	0.2821846255
405	0.2820613219
406	0.2820331582
407	0.2820004448
408	0.2819475847
409	0.2819445727
410	0.28193954
411	0.2818760524
412	0.2818731199
413	0.2817530466
414	0.28164417
415	0.2815478436
416	0.2814801486
417	0.2814647836
418	0.2813552939
419	0.2812265759
420	0.2811840731
421	0.2809837956
422	0.2809078773
423	0.2808711825
424	0.2807453075
425	0.2806668054
426	0.2805773375
427	0.2804480595
428	0.280307734
429	0.2802356031
430	0.2802060437
431	0.2800905055
432	0.2799445156
433	0.2799405188
434	0.2798098841
435	0.2797591291
436	0.279705752
437	0.2796485676
438	0.2795827144
439	0.2794687534
440	0.2793769835
441	0.2793343912
442	0.2792512599
443	0.2791655745
444	0.2790931604
445	0.2789465516
446	0.278926179
447	0.2789234902
448	0.2787908509
449	0.2786599205
450	0.278546562
451	0.2784695507
452	0.2784669305
453	0.2783980144
454	0.278283107
455	0.2781963073
456	0.2781464155
457	0.2780362595
458	0.2779503892
459	0.2778224534
460	0.2777172609
461	0.2776579885
462	0.2775727221
463	0.2775701247
464	0.2774683161
465	0.2774311619
466	0.2773957408
467	0.2772760249
468	0.277249691
469	0.2772433305
470	0.2771568755
471	0.2770456969
472	0.2769118335
473	0.2768035719
474	0.2766994105
475	0.2766064054
476	0.2765037497
477	0.2763470135
478	0.2762060103
479	0.2760890274
480	0.275940039
481	0.2758318694
482	0.275767166
483	0.2756907059
484	0.2756167405
485	0.2754630956
486	0.2753620604
487	0.2752750138
488	0.2751283115
489	0.2750678135
490	0.2749633519
491	0.2748993218
492	0.2748028422
493	0.2747351286
494	0.2746490282
495	0.2745848329
496	0.2744595196
497	0.2743549673
498	0.2742846772
499	0.2742322547
500	0.2741838338
501	0.2741270775
502	0.2740463969
503	0.2739661578
504	0.2738880172
505	0.2738036469
506	0.2737344807
507	0.2737168441
508	0.2736351398
509	0.2735515294
510	0.2734598463
511	0.2733570662
512	0.2732801789
513	0.2732665661
514	0.2732492557
515	0.2732470619
516	0.2730494307
517	0.273047246
518	0.2729387367
519	0.2728339821
520	0.2727366081
521	0.2726333817
522	0.2725567404
523	0.2724513014
524	0.272353875
525	0.2722886144
526	0.2721562602
527	0.2720786163
528	0.2719801508
529	0.271968108
530	0.2718494663
531	0.271804375
532	0.2717419232
533	0.2716543363
534	0.2715957296
535	0.2715542802
536	0.2715414625
537	0.2715006248
538	0.2713821046
539	0.2713114583
540	0.2712391436
541	0.2711451878
542	0.2710591839
543	0.2709994585
544	0.2709223688
545	0.2708387108
546	0.2707225149
547	0.2706726526
548	0.2705891827
549	0.2704781814
550	0.2704183712
551	0.2703329356
552	0.270297452
553	0.2702315129
554	0.2702038858
555	0.2701252362
556	0.2700147814
557	0.2699443314
558	0.2698552788
559	0.2698150038
560	0.2698114161
561	0.2697440409
562	0.2697418937
563	0.2696737039
564	0.2696609887
565	0.2695923514
566	0.2695886185
567	0.2694764365
568	0.2693615876
569	0.2693429079
570	0.2692247428
571	0.2690963662
572	0.2690219396
573	0.2689639085
574	0.2689021011
575	0.2688213963
576	0.2686699727
577	0.2685729999
578	0.2684720186
579	0.2683878326
580	0.2683465513
581	0.268294605
582	0.2681899368
583	0.2680946934
584	0.2679873744
585	0.267892323
586	0.2677764131
587	0.2677516288
588	0.2677137986
589	0.2676144641
590	0.2675151724
591	0.2675149808
592	0.2674312185
593	0.2673575852
594	0.2672408916
595	0.2671662455
596	0.2671179712
597	0.2670508013
598	0.2669607516
599	0.2668933937
600	0.266816775
601	0.2667137607
602	0.2665657774
603	0.2664850238
604	0.2664221002
605	0.2663487564
606	0.2662635802
607	0.2661815255
608	0.2660448648
609	0.2659746088
610	0.2659077444
611	0.2657891528
612	0.265699513
613	0.2656093165
614	0.2655473833
615	0.2655471905
616	0.2654470252
617	0.2653610429
618	0.2652769537
619	0.265216721
620	0.2652084984
621	0.2650917501
622	0.2649995545
623	0.2649097188
624	0.2649066484
625	0.264842367
626	0.2648364117
627	0.2647360626
628	0.2646682883
629	0.264576193
630	0.2644954123
631	0.2644378214
632	0.2643325962
633	0.2642318097
634	0.264167257
635	0.2641074776
636	0.2640039395
637	0.2639260252
638	0.2638285764
639	0.2637689997
640	0.2636858112
641	0.2636093147
642	0.2635961206
643	0.2635393953
644	0.2634039104
645	0.2633573974
646	0.2633083602
647	0.2632431795
648	0.2632265231
649	0.2631742943
650	0.2631304257
651	0.2630678581
652	0.2629451553
653	0.2628466909
654	0.2627144301
655	0.262640915
656	0.2625391807
657	0.2624738468
658	0.2623806979
659	0.2623204811
660	0.2622543179
661	0.2621680321
662	0.2620955347
663	0.2620891054
664	0.2620437299
665	0.2620074989
666	0.2619349198
667	0.261843457
668	0.2617586298
669	0.2616914549
670	0.2616079465
671	0.2616077723
672	0.261572294
673	0.2615284701
674	0.261453997
675	0.2614003358
676	0.2613121775
677	0.2613038806
678	0.2612778306
679	0.2612291463
680	0.2611431701
681	0.2610879004
682	0.2609940207
683	0.2608891111
684	0.2607853878
685	0.2607418974
686	0.2606372739
687	0.2605802045
688	0.2605120676
689	0.2604452378
690	0.2603417885
691	0.2602842767
692	0.2602091779
693	0.2601361732
694	0.2600993252
695	0.2600529419
696	0.2599452796
697	0.2598943643
698	0.2598327242
699	0.2597306398
700	0.2596759247
701	0.2596378608
702	0.259510061
703	0.2594352338
704	0.259332274
705	0.2592687983
706	0.2592225653
707	0.2591378098
708	0.2591067962
709	0.2590492577
710	0.2589486642
711	0.25887805
712	0.2588238386
713	0.2588104345
714	0.2587522883
715	0.2586915006
716	0.2586440575
717	0.2585541145
718	0.2585005825
719	0.2584318812
720	0.2584094634
721	0.2583701892
722	0.2583364334
723	0.2583058429
724	0.258265527
725	0.2581900046
726	0.2581738494
727	0.2580974404
728	0.2580584463
729	0.2579841192
730	0.2579278025
731	0.2578440528
732	0.2578117843
733	0.2577600498
734	0.2576536846
735	0.2576421413
736	0.2575547386
737	0.2574476694
738	0.257374164
739	0.257291879
740	0.257234417
741	0.2571490822
742	0.2570956354
743	0.2569944525
744	0.2569175083
745	0.2568482098
746	0.2567956727
747	0.2566973371
748	0.2566347628
749	0.2565460843
750	0.2564728851
751	0.2564298267
752	0.2564261189
753	0.2564248894
754	0.2563728248
755	0.2562771585
756	0.256154149
757	0.2561041167
758	0.2560976107
759	0.2560306044
760	0.2559063191
761	0.255826308
762	0.2557181035
763	0.2556258843
764	0.2555278747
765	0.2554838596
766	0.2554035901
767	0.2552610176
768	0.2552217044
769	0.2552205106
770	0.2552170339
771	0.2552015466
772	0.2551345462
773	0.2550517032
774	0.2549884384
775	0.2549823949
776	0.2549345403
777	0.254801473
778	0.2547658714
779	0.2546523424
780	0.2546064156
781	0.2545475295
782	0.2544747815
783	0.2543740578
784	0.2543577305
785	0.2543342186
786	0.2542954624
787	0.2542280549
788	0.2542169914
789	0.2541850072
790	0.2541309683
791	0.2540925982
792	0.2540097336
793	0.2539593081
794	0.2539437275
795	0.2538573404
796	0.253742883
797	0.2536876069
798	0.2536431327
799	0.253616736
800	0.2535737829
801	0.2535354705
802	0.253435087
803	0.2533547781
804	0.2533527499
805	0.2532680393
806	0.2531549797
807	0.2530786853
808	0.2530345464
809	0.2530002347
810	0.2529317116
811	0.2528416665
812	0.2527915699
813	0.2526918319
814	0.2526591741
815	0.2526207986
816	0.2525738214
817	0.2525259604
818	0.2524848558
819	0.2524188085
820	0.2523841281
821	0.2522954224
822	0.2522404695
823	0.2521711746
824	0.252150472
825	0.2520989426
826	0.252047102
827	0.2519802734
828	0.2519384763
829	0.251838327
830	0.2517859641
831	0.2517613715
832	0.2517604383
833	0.2517107974
834	0.2516500829
835	0.2515537241
836	0.2514777509
837	0.2514363688
838	0.2513735564
839	0.251291806
840	0.2511985643
841	0.2511542514
842	0.251145995
843	0.2511074574
844	0.2510764081
845	0.2510300499
846	0.2509640268
847	0.2508698541
848	0.2508018091
849	0.2507420053
850	0.2506933597
851	0.2506554698
852	0.250558058
853	0.2504494891
854	0.2504366898
855	0.2504114172
856	0.2503440063
857	0.2503074037
858	0.2502879475
859	0.2502098094
860	0.2501131855
861	0.2500383243
862	0.249953287
863	0.2498542663
864	0.2498036189
865	0.2497464934
866	0.2496856671
867	0.2496399622
868	0.2495930283
869	0.2495264114
870	0.2494537062
871	0.249392804
872	0.2492334995
873	0.2491194092
874	0.2490354613
875	0.2489436247
876	0.2489037177
877	0.2488281167
878	0.2487746119
879	0.2487306313
880	0.2486360459
881	0.248614153
882	0.2485559468
883	0.2485551211
884	0.2484822648
885	0.2483920584
886	0.2483229599
887	0.2482592095
888	0.248163091
889	0.2481236993
890	0.2480601139
891	0.2479919497
892	0.2479272608
893	0.2478797414
894	0.2478184799
895	0.2478063409
896	0.2477499258
897	0.247657491
898	0.2475914562
899	0.2475236217
900	0.247460179
901	0.2473654057
902	0.2473383542
903	0.2472960609
904	0.2472384698
905	0.2471721531
906	0.2471360216
907	0.2470705307
908	0.2470314147
909	0.2469468442
910	0.2468507404
911	0.2467868322
912	0.2466926469
913	0.2466117737
914	0.2465482732
915	0.2464744948
916	0.2464483732
917	0.2463968609
918	0.2463336874
919	0.246279742
920	0.2462227662
921	0.2461393721
922	0.2460548051
923	0.2459923965
924	0.2459586877
925	0.2459249719
926	0.2458536843
927	0.2457942211
928	0.2457375161
929	0.2456467188
930	0.2455975544
931	0.2454803812
932	0.2454453753
933	0.2453917088
934	0.2453428551
935	0.2452541883
936	0.2451937847
937	0.2451225484
938	0.245042481
939	0.2450069074
940	0.2449441258
941	0.244885728
942	0.2447857725
943	0.2447619181
944	0.2447160989
945	0.2446522653
946	0.244572988
947	0.2444964496
948	0.2444431212
949	0.2444242803
950	0.2443644478
951	0.2443136063
952	0.2442575601
953	0.2441932423
954	0.244104408
955	0.244014493
956	0.2439772732
957	0.2439395787
958	0.2438862684
959	0.243806799
960	0.2437169527
961	0.2436602779
962	0.2436242938
963	0.2435337947
964	0.2434990529
965	0.2434522397
966	0.243390315
967	0.2433441543
968	0.2432512269
969	0.2431936032
970	0.2431080644
971	0.2430515222
972	0.2430088388
973	0.2429159817
974	0.2428627045
975	0.2428141813
976	0.2427339194
977	0.2427196569
978	0.2426485331
979	0.2425980856
980	0.2425452419
981	0.2424481821
982	0.2423978802
983	0.2423675717
984	0.2422808632
985	0.2422168653
986	0.2421549484
987	0.2421245418
988	0.2420687926
989	0.2420349445
990	0.2419614603
991	0.2418809393
992	0.2418311657
993	0.2417641022
994	0.2416848669
995	0.241639636
996	0.2415954543
997	0.2415250201
998	0.2414664414
999	0.2413941001
